record_label_low,occurrences,record_label_major
Zima,149,Independent
Moonlee Records,149,Independent
Household Name Records,148,Independent
KALAN SES GÖRÜNTÜ,148,Independent
Roche Musique,148,Independent
Tenderversion,148,Universal Music Group
Brentwood Music,148,Sony Music Entertainment
Analog Africa,148,Sony Music Entertainment
Darkest Labyrinth,148,Independent
Aggropop-Records,148,Warner Records
UMe Direct 2,148,Universal Music Group
The Sign Records,148,Independent
Salvo,148,Sony Music Entertainment
Green Linnet,148,Warner Records
Sounds True,148,Universal Music Group
Major Label,148,Independent
Popgefahr Records,148,Warner Records
"Motema Music, LLC",147,Universal Music Group
Wagram Music / 3ème Bureau,147,Independent
Chocodog Records,147,Universal Music Group
Majik Ninja Entertainment,147,Independent
The Reverberation Appreciation Society,147,Independent
ZE Records,147,Independent
Nation,147,Universal Music Group
Mono Vs Stereo,147,Warner Records
Fantasy,147,Universal Music Group
OHM Resistance,147,Independent
Beer City Digital,147,Independent
Smallville,147,Independent
"RuCo, Inc",147,Independent
Downtown JV,147,Universal Music Group
Hidden Beach Records,147,Sony Music Entertainment
Think Fast! Records,147,Universal Music Group
Eagle Rock/Armoury Records,147,Warner Records
Macklemore,147,Warner Records
Chesky Records,146,Universal Music Group
Noah's Ark Music BV,146,Independent
Versity Rights,146,Universal Music Group
Earthology Records,146,Independent
Gearhead Records,146,Independent
RCA Local,146,Sony Music Entertainment
Firepower Records,146,Warner Records
Def Jam West,146,Universal Music Group
Levy-Yhtiö,146,Universal Music Group
Wnts,146,Independent
Gravadora Eldorado,146,Universal Music Group
Concrete Jungle Records,146,Independent
Second Language Music,146,Warner Records
Gomma,146,Sony Music Entertainment
Systematic,146,Warner Records
Stay Sick,146,Universal Music Group
Bones Brigade Records,146,Warner Records
Heavy Artillery Recordings,146,Independent
Bonzai Classics,146,Independent
Concord/Loma Vista/Caroline,145,Universal Music Group
EMRE GRAFSON MÜZİK,145,Universal Music Group
HERODES,145,Universal Music Group
MK Zwo-Records,145,Independent
"Amherst Records, Inc.",145,Warner Records
Heidrunar Myrkrunar,145,Independent
Immune Recordings,145,Warner Records
Berlin Music Publishing,145,Universal Music Group
OCESA Seitrack,145,Independent
FiatLX,145,Independent
+1 Records,145,Independent
Wielkie Joł,145,Independent
Black Sun Empire,145,Independent
Charly Digital,145,Warner Records
Hukapan,145,Sony Music Entertainment
Hic Sunt Leones,145,Independent
1320 Records,145,Independent
Levy-yhtiö Oy,144,Independent
Völker hört die Tonträger,144,Universal Music Group
Broken World Media,144,Independent
Future Sound Of London,144,Universal Music Group
Hatboxghost Music,144,Independent
Bob Seger,144,Universal Music Group
Oh Yeah!,144,Sony Music Entertainment
Varèse Sarabande,144,Universal Music Group
Underwater Peoples Records,144,Sony Music Entertainment
Acony Records,144,Universal Music Group
Tylden,144,Universal Music Group
Boutique,144,Universal Music Group
Crunchy Frog,144,Independent
RepoRecords,144,Universal Music Group
Space Age Recordings,144,Independent
Codiscos,144,Independent
United Music Group,144,Universal Music Group
Downtown Records,144,Sony Music Entertainment
Parlophone Records Limited,143,Warner Records
Creation Records,143,Sony Music Entertainment
Blue Horizon Records,143,Independent
Concert Live Ltd,143,Independent
1st & 15th/Atlantic,143,Warner Records
Euphonious/Vme,143,Independent
Gorgon Records,143,Independent
Ernest Jenning Record Co.,143,Independent
1080p,143,Independent
Membran,143,Independent
Big Machine Label Group,143,Universal Music Group
Home Normal,143,Independent
Beton Kopf Media,143,Independent
Epic Soundtrax,142,Sony Music Entertainment
BPG/RVG/RCA Records,142,Sony Music Entertainment
Fullsteam,142,Sony Music Entertainment
Midnight Rain Productions,142,Independent
Disruptor Records/Columbia,142,Sony Music Entertainment
100PROMotion,142,Independent
Non Serviam Records,142,Sony Music Entertainment
Forge Again Records,142,Warner Records
А+/Студия СОЮЗ,142,Independent
Studio Barnhus,142,Independent
New Albion Records,142,Independent
Heptagon,142,Universal Music Group
Mostly Autumn Records,142,Independent
"Blackground Records, LLC",142,Universal Music Group
Saregama,142,Sony Music Entertainment
Cat Music,142,Universal Music Group
electrohasch,142,Independent
Independiente,141,Universal Music Group
Rinse,141,Universal Music Group
Trunk Records,141,Independent
SN Music,141,Universal Music Group
"Yamaha Music Entertainment Holdings, Inc.",141,Independent
Dekmantel,141,Universal Music Group
Ardent Records LLC,141,Independent
HANDS,141,Independent
Magnetron Music,141,Independent
Interscope Records,141,Universal Music Group
New Renaissance,140,Sony Music Entertainment
Monopol Records,140,Independent
The Royal Potato Family,140,Independent
Agitato Records,140,Independent
SELF-ISSUED,140,Sony Music Entertainment
Big Crown Records,140,Independent
IndigoBoom,140,Universal Music Group
Drabant Music,140,Universal Music Group
FNC ENTERTAINMENT,140,Independent
"Quality Control Music, LLC",140,Universal Music Group
Taraneh Enterprises Inc,140,Independent
Asylum/Warner Records,140,Warner Records
Autoeditado,139,Independent
El Volcán Música,139,Warner Records
Solaris,139,Warner Records
Quannum Projects,139,Independent
Rawkus Entertainment,139,Universal Music Group
ATP/Recordings,139,Independent
Tomlab,139,Independent
Raven Marching Band,139,Independent
The Apples in stereo,139,Independent
Epic/Freebandz/A1,139,Sony Music Entertainment
EMI Music Australia,139,Universal Music Group
Fervent Records,139,Warner Records
AGORA S.A.,139,Independent
Aleph Zero Records,139,Independent
Metalface,139,Independent
Ultima Thule records,139,Independent
Delmark,139,Independent
Avalanche Recordings,138,Warner Records
Self-released,138,Independent
Staubgold,138,Independent
Yancey Media Group,138,Independent
Seventh records,138,Universal Music Group
Axtone Records,138,Independent
Nuclear Blast America,138,Independent
RockBeat Records,138,Independent
RLG/BMG Heritage,138,Sony Music Entertainment
Flightless Records,138,Universal Music Group
AMAdea Records,138,Independent
Kemosabe Records/RCA Records,138,Sony Music Entertainment
Phazz-a-delic New Format Recordings,138,Independent
Mermaid Records,138,Sony Music Entertainment
Galy Records - Earhertz,138,Independent
HEXAGON,138,Warner Records
Talkin' Loud,138,Independent
Tribal Shift Records,138,Independent
Regain Records,138,Independent
Celestial Harmonies,138,Universal Music Group
TSR Records,138,Independent
EAEO Records,138,Independent
Battle Axe,137,Independent
Soundscape Productions,137,Independent
Own Records,137,Independent
Quite Scientific Records,137,Independent
BMG Music,137,Sony Music Entertainment
Bird's Robe Records,137,Warner Records
Moonbug Entertainment Ltd,137,Independent
Essential Worship,137,Sony Music Entertainment
Time Records,137,Universal Music Group
Nano Records,137,Independent
Invada Records UK,137,Independent
Bluebird/Legacy,137,Sony Music Entertainment
Biuro Ochrony Rapu,137,Independent
Sony Music/Supersonic-GUN,137,Sony Music Entertainment
Tippermusic,137,Independent
Reflections Records,137,Independent
Old Flame Records,137,Independent
Chris Isaak,137,Independent
Mystic Records,137,Independent
Aus Music,136,Independent
Cash Money Records/Young Money Ent./Universal Rec.,136,Universal Music Group
Technique Recordings,136,Sony Music Entertainment
Super Ego Records,136,Independent
Artist Intelligence Agency,136,Independent
Doorn Records,136,Warner Records
Wegawam Music Co.,136,Warner Records
Overground Records,136,Universal Music Group
Innocent,136,Universal Music Group
Republic Records - TWICE,136,Universal Music Group
Plastic City,136,Independent
Monster Rally,136,Independent
Hamburg Records,136,Independent
Downwards,136,Independent
Legacy International,136,Sony Music Entertainment
Tempo Music,136,Independent
Wolf At Your Door Records,136,Universal Music Group
Sincerely Yours,136,Independent
Sony Classical/Sony Music,136,Sony Music Entertainment
Kunsthauch,136,Independent
Protocol Recordings,136,Independent
System Recordings / Human Imprint,135,Independent
Naidoo Records GmbH,135,Independent
Rootdown Records,135,Independent
Misfits Records,135,Independent
EMI Music Nashville (ERN),135,Universal Music Group
Fast Break! Records,135,Independent
Meis Music Group,135,Sony Music Entertainment
Freude am Tanzen,135,Independent
GEP,135,Independent
Sailor's Grave Records,135,Independent
SBME Strategic Marketing Group,135,Sony Music Entertainment
Metamorfosis Enterprises Inc.,135,Universal Music Group
WM Benelux BV,135,Warner Records
Greedy Media,135,Universal Music Group
BMG Rights Management and Administration (Spain) S.L.U,135,Sony Music Entertainment
Forerunner Music,135,Independent
X-Ray Records,135,Independent
Light Organ Records,135,Sony Music Entertainment
Supernova,135,Independent
Caltex Records,135,Independent
Tigersushi Records,135,Independent
Equilibrium Music,135,Independent
Stomp Music,134,Warner Records
Armada Deep,134,Independent
Twelve Gauge Records,134,Warner Records
UAB Creative Industries,134,Independent
Arise Records,134,Independent
Tribulation Recording Company,134,Independent
Asphalt Tango Records,134,Independent
Countess,134,Independent
Art Of Propaganda,134,Independent
Verve (Adult Contemporary) MC,134,Universal Music Group
Croatia Records d.d.,134,Independent
Dangus,134,Independent
hfn music,134,Universal Music Group
Holy Mountain,134,Universal Music Group
Auxiliary,134,Independent
Life.lair.regret. Records,134,Universal Music Group
Blue Swan Records,134,Sony Music Entertainment
Multimedia Music,134,Universal Music Group
AVAF Music,134,Sony Music Entertainment
PEG Records,134,Universal Music Group
Believe Recordings,134,Independent
Who's Afraid Of 138?!,134,Universal Music Group
Jazz Village,134,Universal Music Group
CI Records,134,Independent
iht Records,134,Independent
Strange Attractors Audio House,134,Independent
East Central One,133,Independent
Broken Rekids,133,Independent
Bomber Records,133,Universal Music Group
Butler Records,133,Independent
Impact Records,133,Universal Music Group
The Social Registry,133,Independent
Svedala,133,Sony Music Entertainment
Marvelous Inc.,133,Independent
Mascom Records,133,Independent
Supergiant Games,133,Independent
Arms and Sleepers,133,Independent
Intentcity,133,Independent
Teleprompt/Warner Records,133,Warner Records
Universal Music Ireland Ltd.,133,Universal Music Group
Dorado Records,133,Sony Music Entertainment
Indie,133,Independent
Quartet Records,133,Warner Records
Rebel Rock/Grand Hustle/Atlantic,133,Warner Records
Record Collection Music,133,Warner Records
25/17,132,Independent
Grand Jury Music,132,Universal Music Group
Dub Police Records,132,Independent
Alter K,132,Independent
Mi'ster,132,Independent
Gut Records,132,Sony Music Entertainment
Panic Records,132,Independent
Curb | Word,132,Sony Music Entertainment
Euphobia,132,Independent
Slimstyle,132,Warner Records
Etic System,132,Independent
Poll Production,132,Warner Records
Duophonic,132,Independent
Solar Lodge,132,Independent
Mad Butcher Records,132,Warner Records
Record Collection,132,Independent
UnaMusic,132,Sony Music Entertainment
Marquis Enterprises Ltd,132,Independent
ITN Corporation,132,Independent
Divucsa,132,Universal Music Group
Plug Research,132,Independent
Groggy Pack Entertainment LLC,131,Independent
Blackout! Records,131,Independent
Masters of Hardcore,131,Independent
D:Vision,131,Sony Music Entertainment
Universal Music Romania,131,Universal Music Group
Ace Fu Records,131,Independent
Good Time Records,131,Independent
VHF,131,Independent
SEYHAN MÜZİK PROD.,131,Independent
Afternoon Records,131,Warner Records
Madfish,131,Independent
Mortarhate,130,Independent
Usura,130,Sony Music Entertainment
Stereoscenic,130,Independent
Chimera Music,130,Independent
FRANK SINATRA HYBRID,130,Universal Music Group
Fuel 2000,130,Independent
Division Recordings,130,Independent
Ricco Label,130,Independent
Candid,130,Warner Records
Fluttery Records,130,Independent
WM Canada,130,Warner Records
Kannibalen Records,130,Independent
Beluga Heights/Warner Records,130,Warner Records
Flecha Discos,130,Independent
Lovitt Records,130,Independent
Prabhu Music,130,Independent
AVIE Records,130,Sony Music Entertainment
DFTBA Records,130,Independent
Other Music,130,Universal Music Group
Nika,130,Independent
El Records,129,Universal Music Group
Brock Berrigan,129,Independent
Harthouse,129,Independent
Disco Gecko Recordings,129,Independent
Suicidal Records,129,Sony Music Entertainment
Volcano/Legacy,129,Sony Music Entertainment
Amy Grant (AGG),129,Independent
Beyond Beyond Is Beyond Records,129,Independent
Linear Labs,128,Independent
JA Lab,128,Independent
Silverdust Records,128,Independent
Distraction Records,128,Independent
A Purple100,128,Warner Records
Music.Film,128,Sony Music Entertainment
Glacial Pace Recordings,128,Independent
naïve classique,128,Independent
EastWest,128,Warner Records
Nicki Minaj/Cash Money,127,Universal Music Group
Salsoul Records,127,Sony Music Entertainment
Gentleman / Kingstone Records,127,Independent
Bad Boy / Interscope,127,Universal Music Group
ОКТЯБРЬ,127,Independent
İSTANBUL PLAK LTD.,127,Independent
Rock Revolution,127,Independent
Hypercolour,127,Universal Music Group
Munster,127,Independent
BMG,127,Sony Music Entertainment
[AMATORY],127,Independent
Genie Music Corporation,127,Independent
Eastern Conference,127,Independent
Photo Finish Records ADA Distributed,127,Warner Records
Minority Records s.r.o.,127,Independent
Orange Milk,127,Independent
Church Road Records,127,Independent
Pixadelic,127,Sony Music Entertainment
Rookies + Kings,127,Independent
Twentythree,127,Independent
B&M Music spol. s.r.o.,127,Universal Music Group
Chance the Rapper,127,Independent
raubbau,127,Independent
MWG / Music World Entertainment Corporation,127,Independent
Discos Denver,126,Independent
Indies Records,126,Independent
Strange and Beautiful,126,Sony Music Entertainment
Boltfish Recordings,126,Independent
UNO NYC,126,Warner Records
Mono Stereo Įrašai,126,Independent
Illusive,126,Independent
Megaforce +,126,Sony Music Entertainment
FFWD Records,126,Independent
Okeh/Sony Masterworks,126,Sony Music Entertainment
Texicalli,126,Warner Records
Highly Contrasting,126,Universal Music Group
EMI - Kent Elektronik Sanayi ve Ticaret A.S.,126,Universal Music Group
Ashrama Spa Music,126,Universal Music Group
Bad Taste Recordings,126,Independent
Storage Records,126,Independent
Locomotive Records,126,Universal Music Group
Aufnahme + Wiedergabe,126,Universal Music Group
Snapper Classics,126,Sony Music Entertainment
Bombworks Records,126,Independent
GR6 Music,126,Universal Music Group
Tankcsapda Music,126,Sony Music Entertainment
Z Records,125,Independent
Akira Records,125,Warner Records
Boogie Naipe,125,Independent
Spunky Monkey Music,125,Sony Music Entertainment
Drizzly Records,125,Independent
Disciple,125,Sony Music Entertainment
MG Music Ltd,125,Universal Music Group
Atmosphériques / Universal,125,Universal Music Group
Chess Club/RCA Victor,125,Sony Music Entertainment
Rokka,125,Sony Music Entertainment
徳間ジャパンコミュニケーションズ,125,Universal Music Group
Favorite,125,Warner Records
Milk & Scissors,125,Independent
Lost and Lonesome,125,Independent
Favored Nations/RSM,125,Independent
Playwright,125,Independent
The Third Movement,125,Independent
Fillmoe Coleman Records,125,Universal Music Group
Another Century,125,Sony Music Entertainment
No Pain In Pop,125,Independent
Intercord,125,Universal Music Group
Instant Records,125,Independent
Richard Walter Entertainment,125,Sony Music Entertainment
Dangervisit,125,Universal Music Group
El Paraiso,125,Independent
Night Slugs,125,Warner Records
On The Low,125,Independent
Nickelodeon/Columbia,125,Sony Music Entertainment
Portrait/Sony Masterworks,124,Sony Music Entertainment
Blast First Petite,124,Warner Records
[PIAS] Recordings Germany,124,Independent
Zero Records,124,Independent
Handwritten Records,124,Universal Music Group
Goldenbest Records,124,Independent
A Strangely Isolated Place,124,Independent
Infinite Fog Productions,124,Independent
Planet E Communications,124,Independent
T-65b Records,124,Independent
2015 Discos Fuentes,124,Independent
La Tempesta International,124,Universal Music Group
Universal Records/Tuff Gong Records,124,Universal Music Group
Concord Sugar Hill,124,Universal Music Group
Transcend Music,124,Warner Records
Danger Crue Records,124,Sony Music Entertainment
Lovemonk,124,Independent
Sony Interactive Entertainment,123,Sony Music Entertainment
Flawless Records,123,Universal Music Group
Tombstone Records,123,Independent
Apostasy Records,123,Universal Music Group
BasedWorld Records,123,Independent
Ignition Records Ltd,123,Independent
Cartoon Network / WaterTower Music,123,Warner Records
Solitary Man Records GbR/WM Germany,123,Warner Records
STR - Stereophonica,123,Universal Music Group
Contra Records,123,Independent
Prodejhudbu.cz,123,Independent
Record Records,123,Independent
Fantastic Plastic,123,Independent
Barbès Records,123,Independent
iM Digital (EU),123,Independent
Rogue Records America,123,Independent
Parquet Recordings,123,Universal Music Group
"Grand Hustle, LLC",123,Independent
Couch Records,122,Independent
The Karaoke Channel,122,Independent
Nuevos Medios S. A.,122,Universal Music Group
By Norse Music,122,Independent
Setalight,122,Independent
Amanita,122,Independent
1035718 Records DK,122,Independent
Es Paranza,122,Warner Records
Burning World Records,122,Universal Music Group
Taylor Swift,122,Independent
300 Entertainment/Atl,122,Warner Records
Vara,122,Independent
Gnomonsong,122,Warner Records
584441 Records DK,122,Independent
Youngblood Records,121,Independent
Lso Live,121,Independent
Fort Knox Recordings,121,Independent
Rwina Records,121,Independent
One Up,121,Universal Music Group
4everMUSIC,121,Warner Records
Sire/Reprise,121,Warner Records
Alles Oder Nix Records,121,Independent
Invictus Productions,121,Universal Music Group
Furious Records,121,Independent
Magick Records,121,Sony Music Entertainment
80-Minutes of Music/Talking Taco Music,121,Independent
CAPITOL MUSIC,121,Universal Music Group
DiscMedi S.A.,121,Sony Music Entertainment
What's Your Rupture?,121,Independent
Indochine Records,121,Sony Music Entertainment
BMG Rights Management (Australia) Pty Ltd.,121,Sony Music Entertainment
Strike First Records,120,Independent
Universal Music,120,Universal Music Group
Naim Records,120,Independent
Halvfabrikat Records,120,Independent
Grönland Records,120,Independent
Goontrax,120,Independent
Night School,120,Independent
Church Within Records,120,Sony Music Entertainment
JPU Records Ltd.,120,Universal Music Group
Indirecto,120,Universal Music Group
Sony Music/F.A.M.E. Recordings,120,Sony Music Entertainment
Cargo,120,Independent
AATT,120,Universal Music Group
Irma La Douce,120,Sony Music Entertainment
Magic Circle Entertainment,120,Universal Music Group
Blaufield Music,120,Independent
New Media,120,Sony Music Entertainment
Inner Ocean Records,120,Independent
ROCKERSPRO,120,Independent
So So Def,119,Sony Music Entertainment
Graveland,119,Independent
Solitudes,119,Independent
Bubble Core Records,119,Independent
UGC Images/ADA France,119,Warner Records
Shadow Records,119,Independent
Dog Knights Productions,119,Warner Records
Top Dog/Atlantic,119,Warner Records
42 Records,119,Universal Music Group
Pan European Recording,119,Sony Music Entertainment
evoxs,119,Independent
Modern Outsider,119,Universal Music Group
SMSP,119,Sony Music Entertainment
Chemodanov Production,119,Independent
Syllart Records,119,Universal Music Group
Not A Robot Records,119,Independent
Warner Records/Maverick,119,Warner Records
Dokuz Sekiz Müzik,119,Independent
Blanco y Negro Music,119,Warner Records
Venture,119,Independent
3 Beads Of Sweat,119,Sony Music Entertainment
RCA Numero Uno,119,Sony Music Entertainment
Dead Broke Rekerds,119,Independent
Purple Pyramid,119,Sony Music Entertainment
Soft Abuse,119,Universal Music Group
Goodwithmoney Recordings,119,Independent
SwingKids,119,Independent
Independente,119,Independent
Ferryhouse Productions,119,Warner Records
Plusquam Digital,118,Independent
Azul Music,118,Sony Music Entertainment
Electric Universe Records,118,Independent
Connaisseur Recordings,118,Independent
Naked Music,118,Independent
FullFill,118,Independent
Virgin Music UK,118,Universal Music Group
Hibernate,118,Universal Music Group
ABKCO Music & Records,118,Universal Music Group
Grand Blanc,118,Independent
Willowtip Records,118,Independent
Nilaihah Records,118,Independent
MMG,118,Warner Records
Upstream Records,118,Independent
GP Records,118,Independent
Ministry Of Sound,118,Universal Music Group
Keysound,118,Independent
Dutch Master Works,118,Independent
Alien Transistor,118,Independent
Dot Dash Recordings,118,Independent
Teg Publishing,118,Independent
Tryo,118,Universal Music Group
Skol Records,118,Independent
Timeroom Editions,117,Independent
Rendezvous Music,117,Sony Music Entertainment
ALC,117,Universal Music Group
EXIT TUNES,117,Warner Records
Primavera Labels,117,Universal Music Group
30th Century Records,117,Sony Music Entertainment
Yellowelectric,117,Independent
Black Widow Records,117,Independent
Celluloid,117,Independent
Dirk Scheele Producties,117,Independent
Unseen,117,Universal Music Group
Szpadyzor Records,117,Independent
Suburban Music Group,117,Universal Music Group
Picap,117,Independent
Anachron Sounds,117,Universal Music Group
Blue Apple Music,117,Universal Music Group
Elefant Traks,117,Sony Music Entertainment
ATMF,117,Independent
Dusktone,117,Sony Music Entertainment
American Gramaphone,117,Independent
Blu Mar Ten Music,117,Independent
Will I Am / A&M,117,Universal Music Group
Gospocentric,117,Sony Music Entertainment
Jahtari,117,Independent
M2,117,Independent
Int'l Latin America,117,Universal Music Group
UMLE - Machete,116,Universal Music Group
Undertow,116,Sony Music Entertainment
"Show Dog, LLC",116,Independent
Zenon Records,116,Independent
"WWE, Inc.",116,Sony Music Entertainment
Dark Flute,116,Universal Music Group
LOaF,116,Independent
SPRL,116,Independent
Future Sound of Egypt,116,Independent
Big Giant Circles,116,Warner Records
Naxos Special Projects,116,Independent
Gallo Record Company,116,Warner Records
"Doomtree Records, LLC",116,Independent
Ruf Records,116,Independent
Skeletal Lightning,116,Independent
Hulk Räckorz,116,Sony Music Entertainment
Brennus,116,Independent
Traxtorm Records,116,Independent
Gdm,115,Universal Music Group
JELLYFISH ENTERTAINMENT,115,Independent
Faravid Recordings,115,Independent
RedBaaron Records,115,Independent
J Records/Legacy,115,Sony Music Entertainment
Rockadillo Records,115,Independent
Adrian & Raz,115,Universal Music Group
Zealrecords,115,Independent
Sudden Death Records,115,Independent
"Nippon Columbia Co., Ltd. / NIPPONOPHONE",115,Sony Music Entertainment
Virgin Music Label And Artist Services (S&D),115,Universal Music Group
Wax Trax! Records,115,Independent
Grau,115,Independent
Chrysalis UK,115,Universal Music Group
Dobrzewiesz Nagrania,115,Independent
Duophonic / Warp Records,115,Independent
TAMBOURHINOCEROS,115,Universal Music Group
Universal International Music B.V.,115,Universal Music Group
Latent Recordings,115,Independent
Blood Harvest,115,Warner Records
Mr.305/Polo Grounds Music/J Records,114,Sony Music Entertainment
Almo Sounds,114,Universal Music Group
Patricio Rey Discos,114,Independent
Rush Hour,114,Independent
WE R,114,Sony Music Entertainment
Airforce1,114,Universal Music Group
Housecore Records,114,Warner Records
Ariola Express,114,Sony Music Entertainment
On And On Records,114,Universal Music Group
Wharf Cat Records,114,Universal Music Group
RAMP Recordings,114,Independent
Wrasse Records,114,Universal Music Group
ICS Festival Service GmbH,114,Independent
Danny Baranowsky,114,Independent
Surco,114,Universal Music Group
DANCING FERRET,114,Independent
To Lose La Track,114,Independent
J. Cole/ DreamVille,114,Universal Music Group
20/20/20,114,Sony Music Entertainment
Lost Language,114,Independent
Steven Halpern's Inner Peace Music,114,Independent
HHO,114,Independent
Recall Records,114,Independent
GAM MÜZİK,113,Sony Music Entertainment
Flameshovel Records,113,Independent
XENOKORP,113,Independent
Getting Better,113,Universal Music Group
Silver Arrow Records,113,Independent
New Damage Records,113,Warner Records
WKN,113,Independent
Fandango Records,113,Independent
Illegal Art,113,Independent
Hubro,113,Independent
Dekorder,113,Independent
Rebel Babel,113,Independent
Inflamable Records,113,Independent
Premier,113,Universal Music Group
Timewarp Music,113,Independent
Universal Music Publishing Ricordi srl,113,Universal Music Group
Nothing To Loose Records,113,Universal Music Group
Tin Angel Records,113,Independent
Deathgasm Records,113,Independent
Mammoth Records,113,Independent
Gallery Records,113,Warner Records
Slnko Records,113,Universal Music Group
Hypnotize Minds Productions,113,Sony Music Entertainment
Genlyd,113,Sony Music Entertainment
Star Music,113,Independent
Armada Zouk,113,Sony Music Entertainment
Armada Trice,113,Independent
Cupol,112,Sony Music Entertainment
Kalinkaland,112,Independent
Addictech Records,112,Independent
Immortal/Epic,112,Sony Music Entertainment
Wonderland Records,112,Sony Music Entertainment
Rock Of Angels Records,112,Independent
CBA Discos,112,Independent
Visible Noise,112,Sony Music Entertainment
Parlophone Belgium,112,Warner Records
Meta / Albatroz,112,Independent
Central Processing Unit,112,Independent
Xemu Records,112,Sony Music Entertainment
Specialist Subject,112,Independent
Hypertension,111,Independent
Westpark Music,111,Independent
No3,111,Sony Music Entertainment
Hessle Audio,111,Independent
Charisma Catalogue,111,Universal Music Group
Cantaloupe Music,111,Independent
BC Music,111,Sony Music Entertainment
ZKP RTVSLO,111,Independent
Hobbledehoy,111,Independent
Smarty Mart Music,111,Independent
Tad's Record,111,Independent
Phonofile Balkan,111,Independent
Huck's Plattenkiste,111,Independent
Play Records,111,Independent
Rekids,111,Independent
TOKUMA JAPAN COMMUNICATIONS,111,Independent
Lektroluv,111,Independent
People Eating Fruit Records,111,Independent
Better Looking Records,111,Independent
RNM Bundles,111,Independent
Chaos,111,Sony Music Entertainment
It's Alive Records,111,Independent
Panda Artist,111,Independent
Intravenal Sound Operations,111,Universal Music Group
BIG 3 ENTERTAINMENT,110,Universal Music Group
Do It Yourself,110,Sony Music Entertainment
Sony Music/Essah Media GmbH,110,Sony Music Entertainment
Pax Aeternum Digital,110,Independent
G.O.O.D. Music/Columbia,110,Sony Music Entertainment
Sony Music/Text & Ton einegutemusikschallplatten GmbH,110,Sony Music Entertainment
Soundings of the Planet,110,Independent
Favored Nations,110,Independent
Cash Money Records/Motown Records,110,Universal Music Group
Mörssi,110,Sony Music Entertainment
Frostscald Records,110,Warner Records
New Red Archives,110,Independent
Klik Records,110,Independent
Pentimento Music Co.,110,Independent
TPR,110,Independent
Abney Park,110,Independent
pinkflag,110,Universal Music Group
Hunter,110,Independent
MONOLIT,110,Warner Records
Valley Music Dalapop,110,Independent
Warlock Records,110,Independent
Deepsend Records,110,Universal Music Group
Animal Джаz,110,Independent
The Alphabet Business Concern,110,Independent
Lucky Dog,110,Sony Music Entertainment
Fistolo Records,110,Independent
Elefante Blanco,110,Independent
Westbound Records,110,Independent
Boner,110,Independent
Trocadero Records,110,Independent
Unexploded Records,109,Independent
Bad Seed Ltd,109,Universal Music Group
Lightning Rod Records,109,Sony Music Entertainment
In At The Deep End,109,Warner Records
J&N Records,109,Sony Music Entertainment
Propaganda Records,109,Independent
Oblique,109,Independent
Astor Place,109,Independent
Crain Records,109,Independent
Discos Suicidas,109,Independent
"Araabmuzik, LLC",109,Sony Music Entertainment
Candid Productions,109,Independent
Austrohúngaro,109,Independent
Credential Recordings,109,Independent
Berliner Plattenbau,109,Independent
Rastilho Records,109,Independent
Last Chance Records,109,Independent
Zen Garden,109,Sony Music Entertainment
Kygo,109,Sony Music Entertainment
Photo Finish / Republic Records,109,Universal Music Group
Megapress,109,Universal Music Group
Best Sound,109,Sony Music Entertainment
Radikal Records,109,Independent
Roadrunner Records/Loud & Proud,108,Warner Records
Trustkill,108,Universal Music Group
Tiny E Records,108,Independent
Wah Wah 45s,108,Universal Music Group
Switchstance Recordings,108,Independent
Chunksaah Records,108,Independent
Paper Garden Records,108,Independent
Dynamord Label,108,Sony Music Entertainment
Audioporn Records Ltd,108,Independent
Ambient Records,108,Independent
Rameses B,108,Independent
Magical Properties,108,Universal Music Group
Rhino/London-Sire,108,Warner Records
she,108,Independent
SARAVÁ DISCOS,108,Universal Music Group
Siege Of Amida,108,Warner Records
Heavenly Sweetness,108,Sony Music Entertainment
Ruby Yacht / The Order Label,108,Independent
Cold Tear Records,108,Warner Records
GameChops,108,Independent
Horus Music Limited,108,Independent
Epic/Razor Sharp Records,108,Sony Music Entertainment
El Dromedario Records,108,Warner Records
That Kind of Music,108,Universal Music Group
Shelter Press,108,Universal Music Group
Possession Productions,107,Warner Records
Stay Heavy Records,107,Sony Music Entertainment
Redroom,107,Independent
Pastel Music,107,Independent
M-Theory Audio,107,Sony Music Entertainment
Mr Mule,107,Independent
679 Recordings UK. Ltd.,107,Warner Records
Lyric Street,107,Universal Music Group
Finger Lickin,107,Independent
Trinity Optima Production,107,Independent
FaceFront,107,Independent
Total Treble,107,Sony Music Entertainment
Heroic,107,Universal Music Group
580183 Records DK,107,Independent
Average Joes Entertainment,107,Independent
Exploited,107,Warner Records
PC Music,107,Independent
RAR marketed by Motor Entertainment,107,Independent
Latino Buggeveil,107,Independent
㈜RBW,107,Independent
Nothing Too Fancy Music,107,Universal Music Group
Paracadute,107,Universal Music Group
LAUREN RECORDS,107,Independent
Warner,107,Warner Records
"Babygrande Records, Inc.",107,Sony Music Entertainment
Bigg Boss,107,Independent
Universal Egg Records,107,Universal Music Group
"Tommy Boy Entertainment, LLC.",106,Warner Records
Plan-It-X,106,Independent
Black Butter Records,106,Sony Music Entertainment
Ben Prunty,106,Independent
Arena Rock Recording Company,106,Independent
Cult Records,106,Sony Music Entertainment
Virgin Music Label And Artist Services Australia (P&D),106,Universal Music Group
Majestic Rock,106,Independent
Odyssey Music Network,106,Universal Music Group
